"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","4.185987","0","10"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","4","1","5.135803","0","4"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","145","1","119.917793","0","145"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","3.457055","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","3.484728","0","5"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","2.946457","0","5"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","12.147539","0","14"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","3.580801","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","3.584162","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","28","1","26.059559","0","28"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","4.651864","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","18","1","15.551356","0","18"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","12","1","9.088361","0","12"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","9","1","5.585301","0","9"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","2.696054","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","5.326081","0","7"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","6","1","3.872154","0","6"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","44","44","2","48.831104","90","652"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","679","1","504.882874","0","679"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","139","1","119.176239","0","139"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","93","93","1","69.324440","0","93"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","10","1","5.450114","0","10"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","53","53","1","174.145615","0","53"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","56","6","33.738403","0","61"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","6","1","5.658092","0","6"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","2.542517","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","6","1","6.149228","0","6"
"/ControlRig/M_Manip.M_Manip","0","9","9","1","5.140961","0","9"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","9","1","5.133023","0","9"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","46","2","29.935993","0","46"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","7","1","4.727123","0","7"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","28","1","24.031677","0","28"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","37","1","32.740673","0","37"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","37","1","33.781288","0","37"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","74","74","2","65.996338","592","1702"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","4","1","2.562419","0","4"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","29","1","20.100824","0","29"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","6","1","3.257621","0","6"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","6","1","3.141051","0","6"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","145","1","121.493240","0","145"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","14","1","11.542697","0","14"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","4","1","2.708657","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","84","1","99.116096","0","84"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","58","1","62.850544","0","58"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","14","1","16.937361","0","15"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","16","1","18.346878","0","16"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","232","8","182.919418","0","232"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","200","8","1157.057007","0","200"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","116","4","93.631668","0","116"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","108","4","694.426025","0","108"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","34","2","22.287022","0","34"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","14","1","13.535944","0","14"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","14","1","13.930968","0","14"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","14","1","13.970032","0","14"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","14","1","14.049262","0","14"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","24","1","155.806778","0","24"
